CWE-ID	Name_Zh
5	J2EE 配置错误：数据传输未加密
6	
7	
8	J2EE 配置错误：实体 Bean 声明为远程
9	J2EE 配置错误：EJB 方法访问权限过弱
11	ASP.NET 配置错误：创建调试二进制文件
12	ASP.NET 配置错误：缺少自定义错误页面
13	ASP.NET 配置错误：配置文件中包含密码
14	编译器移除清理缓冲区的代码
15	系统或配置设置的外部控制
20	不当的输入验证
22	对受限目录的路径名限制不当（“路径遍历”）
23	相对路径遍历
24	路径遍历: '../filedir'
25	
26	路径遍历：'/dir/../filename'
27	路径遍历: 'dir/../../filename'
28	路径遍历：'..\filedir'
29	路径遍历：'\..\filename'
30	路径遍历：'\dir\..\filename'
31	路径遍历：'dir\..\..\filename'
32	路径遍历: '...' (省略号)
33	
34	路径遍历: '....//'
35	路径遍历: '.../...//'
36	绝对路径遍历
37	路径遍历：'/absolute/pathname/here'
38	路径遍历：'\absolute\pathname\here'
39	路径遍历：'C:dirname'
40	路径遍历：'\\UNC\share\name\' (Windows UNC共享)
41	路径等价性解析不当
42	路径等价性：'filename.'（尾随点）
43	路径等价性：'filename....'（多个尾随点）
44	路径等价性：'file.name'（内部点）
45	路径等价性：'file...name' (多个内部点)
46	
47	路径等价：' filename'（前导空格）
48	路径等价性：“文件名”（内部空格）
49	路径等价性：'filename/' (尾随斜杠)
50	路径等价性：'//multiple/leading/slash'
51	路径等效性：'/multiple//internal/slash'
52	路径等价性：'/multiple/trailing/slash//'
53	路径等效性：'\multiple\\internal\backslash'
54	路径等效性：'filedir\' (尾随反斜杠)
55	路径等价性：'/./' (单点目录)
56	路径等效性：'filedir*' (通配符)
57	路径等价性：'fakedir/../realdir/filename'
58	路径等价性：Windows 8.3 文件名
59	文件访问前未正确解析链接（“链接追踪”）
61	UNIX 符号链接 (Symlink) 跟随
62	UNIX 硬链接
64	Windows 快捷方式跟踪 (.LNK)
65	Windows 硬链接
66	对标识虚拟资源的文件名处理不当
67	对 Windows 设备名称处理不当
69	对 Windows ::DATA 备用数据流处理不当
71	已弃用：Apple '.DS_Store'
72	对 Apple HFS+ 备用数据流路径处理不当
73	文件名或路径的外部控制
74	对下游组件使用的输出中特殊元素的未正确中和 ('注入')
75	未将特殊元素清理至不同平面 (特殊元素注入)
76	对等特殊元素的处理不当
77	对命令中使用的特殊元素的中和不当（“命令注入”）
78	对操作系统命令中使用的特殊元素的中和不当（“OS 命令注入”）
79	网页生成过程中的输入中和不当（“跨站脚本”）
80	网页中脚本相关 HTML 标签的中和不当（基础型 XSS）
81	错误信息网页中脚本的不当处理
82	
83	网页属性中脚本的不当中和
84	网页中编码 URI 方案处理不当
85	双字符 XSS 操纵
86	网页标识符中无效字符的错误中和
87	替代性 XSS 语法的防御不当
88	
89	SQL 命令中使用的特殊元素中和不当（“SQL 注入”）
90	对LDAP查询中使用的特殊元素中和不当（“LDAP注入”）
91	XML 注入（又称盲注 XPath 注入）
92	已弃用：自定义特殊字符清理不当
93	不正确的 CRLF 序列中和（'CRLF 注入'）
94	不当的代码生成控制（“代码注入”）
95	动态评估代码中指令中和不当（“Eval 注入”）
96	静态保存代码中指令的中和不当（“静态代码注入”）
97	网页中服务器端包含 (SSI) 的中和不当
98	PHP 程序中 Include/Require 语句的文件名控制不当（“PHP 远程文件包含”）
99	
102	Struts: 重复的验证表单
103	Struts：不完整的 validate() 方法定义
104	Struts：表单 Bean 未继承验证类
105	Struts：表单字段缺少验证器
106	Struts：未启用插件框架
107	
108	Struts: 未验证的 Action Form
109	Struts: 验证器被关闭
110	Struts：没有表单字段的验证器
111	直接使用不安全的 JNI
112	缺少 XML 验证
113	HTTP 报头中 CRLF 序列的中和不当（“HTTP 请求/响应拆分”）
114	进程控制
115	输入误解
116	输出编码或转义不当
117	日志输出中不当的输入中和
118	索引资源访问错误（“范围错误”）
119	内存缓冲区边界限制不当
120	缓冲区复制时未检查输入大小（“经典缓冲区溢出”）
121	基于栈的缓冲区溢出
122	基于堆的缓冲区溢出
123	“写什么到哪里”条件
124	缓冲区写下溢（'缓冲区下溢'）
125	越界读取
126	缓冲区越界读取
127	缓冲区越界读取
128	回绕错误
129	不正确的数组索引验证
130	长度参数不一致处理不当
131	缓冲区大小计算不正确
132	已弃用：空终止符计算错误
134	使用外部可控格式字符串
135	多字节字符串长度计算不正确
138	
140	分隔符中和不当
141	参数/参数分隔符的不当中和
142	值分隔符处理不当
143	不当的记录分隔符中和
144	未正确清除换行符
145	段落分隔符中和不当
146	未对表达式/命令分隔符进行适当的中和
147	输入终止符中和不当
148	输入引导符中和不当 (Improper Neutralization of Input Leaders)
149	引用语法中和不当
150	未对转义、元字符或控制序列进行正确处理
151	对注释定界符的不当中和
152	宏符号的不当中和
153	替换字符处理不当
154	变量名分隔符的不当中和
155	对通配符或匹配符号的不当中和
156	空白字符中和失效
157	未能清理成对的分隔符
158	对空字节或 NUL 字符的清理不当
159	对特殊元素无效使用处理不当
160	前导特殊元素处理不当
161	对多个前导特殊元素的错误中和
162	对尾部特殊元素的中和不当
163	未对多个末尾特殊元素进行适当的清除
164	内部特殊元素中和不当
165	对多个内部特殊元素的处理不当
166	未正确处理缺失的特殊元素
167	额外特殊元素处理不当
168	对不一致特殊元素的处理不当
170	不当的空字符终止
172	编码错误
173	替代编码处理不当
174	对同一数据的双重解码
175	混合编码处理不当
176	不当处理 Unicode 编码
177	对 URL 编码（十六进制编码）的不当处理
178	对大小写敏感性处理不当
179	不正确的行为顺序：过早验证
180	不正确的行为顺序：在规范化之前进行验证
181	不正确的行为顺序：先验证后过滤
182	数据折叠为不安全值
183	许可列表包含不安全输入
184	不完整的禁用输入列表
185	不正确的正则表达式
186	过度限制的正则表达式
187	部分字符串比较
188	依赖数据/内存布局
190	整数溢出或回绕
191	整数下溢（环绕或回绕）
192	整数强制转换错误
193	差一错误 (Off-by-one Error)
194	意外的符号扩展
195	有符号到无符号转换错误
196	无符号到有符号转换错误
197	数值截断错误
198	字节顺序使用错误
200	向未授权的执行者暴露敏感信息
201	将敏感信息插入到发送的数据中
202	
203	可观察的差异
204	可观察的响应差异
205	可观察的行为差异
206	可观察的内部行为差异
207	等效产品之间可观察的行为差异
208	可观察的时间差异
209	生成包含敏感信息的错误消息
210	自生成的错误消息包含敏感信息
211	
212	存储或传输前未正确清除敏感信息
213	由于不兼容策略导致的敏感信息泄露
214	使用可见敏感信息调用进程
215	在调试代码中插入敏感信息
216	已弃用：包含错误（容器错误）
217	已弃用：未能保护存储数据免受修改
218	已弃用：未能为存储的数据提供机密性
219	将包含敏感数据的文件存储在 Web 根目录下
220	在 FTP 根目录下存储包含敏感数据的文件
221	信息丢失或遗漏
222	安全相关信息的截断
223	遗漏安全相关信息
224	使用替代名称掩盖安全相关信息
225	已弃用：通用信息管理问题
226	资源在重新使用前未清除敏感信息
228	对语法无效结构处理不当
229	值处理不当
230	缺失值处理不当
231	额外值处理不当
232	未定义值的处理不当
233	
234	未处理缺失参数
235	额外参数处理不当
236	未定义参数处理不当
237	结构元素处理不当
238	不完整结构元素的处理不当
239	未能处理不完整元素
240	
241	对意外数据类型的处理不当
242	使用本质上危险的函数
243	创建 chroot 监牢时未更改工作目录
244	释放前未正确清除堆内存（“堆检查”）
245	J2EE 不良实践：直接管理连接
246	J2EE 不良实践：直接使用套接字
247	已弃用：在安全决策中依赖 DNS 查询
248	未捕获的异常
249	已弃用：经常被误用的路径操作
250	执行时具有不必要的权限
252	未检查返回值
253	函数返回值检查不正确
256	明文存储密码
257	以可恢复格式存储密码
258	配置文件中的空密码
259	使用硬编码密码
260	
261	弱口令编码
262	
263	密码过期时间过长
266	不正确的权限分配
267	
268	权限链
269	不当权限管理
270	权限上下文切换错误
271	特权丢弃/降低错误
272	最小权限原则违规
273	未能正确检查权限降级
274	对权限不足处理不当
276	
277	不安全的继承权限
278	不安全的保留继承权限
279	不正确的执行分配权限
280	对权限或特权不足的处理不当
281	权限保留不当
282	不当的所有权管理
283	未经验证的所有权
284	访问控制不当
285	不当授权
286	用户管理错误 (Incorrect User Management)
287	身份验证不当
288	通过备用路径或通道绕过身份验证
289	
290	通过欺骗绕过身份验证
291	依赖 IP 地址进行身份验证
292	已弃用：信任自报的 DNS 名称
293	使用 Referer 字段进行身份验证
294	通过捕获重放进行身份验证绕过
295	不当的证书验证
296	未能正确遵循证书信任链
297	证书验证不当导致主机名不匹配
298	对证书过期验证不当
299	不当的证书吊销检查
300	通道可被非端点访问
301	身份验证协议中的反射攻击
302	基于假设不可变数据的身份验证绕过
303	身份验证算法实现不正确
